feature,gain,weight,perm_ap_drop
cum_ret_pct_1440,4.779717445373535,3482.0,0.005018825886106769
atr_pct_30,100.72976684570312,1529.0,0.004737527788689931
vol_ratio_pct_720_1440,3.300255298614502,5443.0,0.003419399327738666
keltner_pos_2880,4.041855335235596,2997.0,0.00316783082429474
slope_reserr_pct_1440,3.9803833961486816,4345.0,0.0029072831054271636
bars_since_blow_60,2.709209442138672,2478.0,0.0026890918594493496
shitidx_pct_2880_10080,4.335083484649658,6808.0,0.0026627823133235293
adx_120,2.743621587753296,3735.0,0.002302181070391658
vol_z,3.733482599258423,1456.0,0.0022343969968095997
rsi_ema2880_1440,3.49212646484375,4458.0,0.0021812212117146776
shitidx_pct_1440_4320,4.468362808227539,4409.0,0.002042430880085079
vol_pct_720,4.508180618286133,2975.0,0.00198200018737988
keltner_center_pct_60,7.238893032073975,1086.0,0.0013598183209153417
pct_from_max_240,2.6704344749450684,1449.0,0.0013519933264934739
slope_reserr_pct_720,5.52460241317749,3290.0,0.0012804251770113378
pct_from_min_15,4.6669111251831055,893.0,0.0012800897140368486
atr_pct_60,29.807682037353516,1694.0,0.0012782772305324833
cci_240,2.2945048809051514,1307.0,0.0012523645635997907
vol_pct_10080,3.6637303829193115,5757.0,0.001031815504393227
adx_30,2.042672634124756,2299.0,0.0009983067505619225
pct_from_max_720,3.031722068786621,2089.0,0.0008540801502055426
rev_speed_up_30,2.171149253845215,1070.0,0.000797117701849627
keltner_center_pct_720,6.332277297973633,1182.0,0.0007696138405906411
slope_pct_15,2.1992850303649902,885.0,0.0007515614323433742
zlog_1440m,3.265331268310547,1425.0,0.0007322549455495153
hl_cnt_30,3.6300504207611084,790.0,0.0007130882043076062
time_since_min_720,3.212240219116211,4118.0,0.0006864215895312636
adx_15,1.7671443223953247,1703.0,0.0006107942365673469
slope_diff_5_15,1.9883596897125244,1195.0,0.000607674850603368
rev_speed_up_120,2.2174487113952637,1520.0,0.0005913149842445287
liquidity_ratio,2.9684808254241943,2637.0,0.0005345730916045677
rev_speed_down_30,3.7262165546417236,976.0,0.0004944999894706884
time_since_min_30,1.8412408828735352,575.0,0.0004892180239470176
pct_from_min_30,2.144940137863159,700.0,0.00045444233409343976
